28,22,70,10.8,-9999,200,82423,7,1008,-999,30.7,-9999,1379812394,0,0,0,0,0,0,17,33.29411765,2,78,7.051282051,0,62,15.61290323,1,51,16.31372549,1,64,14.28125,1,86,8.418604651,4
29,22,66,25.2,-9999,170,80075181,7,1009,-999,32,-9999,1661107892,0,0,0,0,0,0,-1,-1,-1,16,23.875,1,0,0,0,7,27.57142857,1,44,13.90909091,1,37,12.86486486,1
31,25,70,21.6,-9999,120,68951,10,1002,-999,37.6,-9999,1661107892,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,95,13.56842105,1,-1,-1,-1,2,0,0,5,31.6,2
18,5,42,14.4,-9999,20,77445,-9999,1023,-999,-9999,-9999,2242052,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,21.10204082,1,45,24.13333333,1
21,-9,13,14.4,-9999,30,77445,-9999,1025,-999,-9999,-9999,65193517,0,0,0,0,0,0,1,12,1,33,9.636363636,0,-1,-1,-1,24,37.75,2,0,0,0,0,0,4
30,25,74,18,-9999,170,80075181,10,1002,-999,36,-9999,1661107892,0,0,0,0,0,0,-1,-1,-1,3,14.66666667,1,104,11.69230769,1,-1,-1,-1,57,16.40350877,1,62,11.70967742,1
26,17,57,7.2,-9999,200,82423,6,1013,-999,-9999,-9999,770692164,0,0,0,0,0,0,-1,-1,-1,0,0,0,10,47,2,-1,-1,-1,70,13,1,56,6.678571429,4
21,16,73,10.8,-9999,130,2642,5,1017,-999,-9999,-9999,594186803,0,0,0,0,0,0,2,19.5,1,-1,-1,-1,-1,-1,-1,0,0,0,19,26.21052632,1,19,37.36842105,2
31,20,52,21.6,-9999,20,77445,10,1008,-999,33,-9999,770692164,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,23,31.95652174,2,-1,-1,-1,61,9.180327869,0,36,24.11111111,1
29,23,70,25.2,43.2,60,68796,10,1005,-999,32.7,-9999,-1238187327,0,0,0,0,0,0,2,30,2,-1,-1,-1,26,17.07692308,1,87,11.05747126,1,3,39.33333333,2,20,21.9,1
28,24,79,7.2,-9999,80,2152477,10,1009,-999,31.9,-9999,770692164,0,0,0,0,0,0,-1,-1,-1,6,25,1,3,18,1,3,10,1,15,14,1,13,18.38461538,1
29,24,74,21.6,-9999,170,80075181,10,1006,-999,33.5,-9999,-1238187327,0,0,0,0,0,0,-1,-1,-1,1,14,1,-1,-1,-1,32,150.96875,6,17,18.64705882,1,2,13.5,1
29,26,84,25.2,-9999,170,80075181,10,1005,-999,35.6,-9999,770692164,0,0,0,0,0,0,-1,-1,-1,42,8.523809524,0,11,35.81818182,2,3,18,1,2,0,0,2,19,1
21,13,60,21.6,-9999,10,75454693,10,1015,-999,-9999,-9999,770692164,0,0,0,0,0,0,-1,-1,-1,77,7.766233766,0,28,23.57142857,1,21,27.19047619,1,43,12.86046512,1,28,26.89285714,1
22,17,73,18,-9999,110,68951,-9999,1017,-999,-9999,-9999,1725699230,0,1,0,0,0,0,-1,-1,-1,27,13.96296296,1,27,35.74074074,2,18,32.77777778,2,98,8.37755102,0,50,15.6,1
